# The Faith Received — author denominations
#
# name <TAB> body <TAB> party <TAB> confidence <TAB> note
#
# BODY    the church he belonged to. One of: Anglican, Presbyterian,
#         Congregational, Baptist, Quaker, Continental Reformed,
#         Lutheran, Anabaptist, Arminian, Bohemian Brethren,
#         Waldensian, Socinian, Roman Catholic, Eastern Orthodox.
# PARTY   Puritan or Conformist, or blank. Cuts across the bodies.
# CONF    h  certain — a man whose church is not in question
#         m  confident — the standard account, held without hedging
#         l  inferred — from his associations, his printers, his dates
#                and what he wrote, not from a settled biography.
#            Read these as a first pass that wants checking.
#
# Either column may be blank, but not both. A man whose body is genuinely
# contested gets his party and no body, which is truer than a guess:
# John Lilburne wrote as a Leveller, was gathered with Separatists and
# died a Quaker, and filing him under any one of them misstates the
# other two.
#
# The name is matched on the key in assets/js/faith-denominations.js:
# life dates and cataloguers' apparatus stripped, surname-first names
# put back in reading order. So one line covers "Owen, John, 1616-1683"
# in Early English Books and "John Owen" in the Latin Library.
#
# A NOTE ON "ANGLICAN". It means the established Church of England,
# and carries no party with it. William Perkins was a beneficed
# clergyman of that church and is filed as one; his Puritan party says
# the rest. Only a man who actually left — to a gathered church, a
# presbytery, a meeting — takes a different body.

# ── The establishment ─────────────────────────────────────────────
Coverdale, Miles	Anglican		m
Tyndale, William	Anglican		m	Died before the settlement; filed to the church his Bible made
Bradford, John	Anglican		m	Marian martyr
Hooper, John	Anglican	Puritan	m	Vestments controversy; the first English nonconformist
Crowley, Robert	Anglican	Puritan	m
Foxe, John	Anglican	Puritan	m
Fulke, William	Anglican	Puritan	m
Joye, George	Anglican		m
Wilcox, Thomas, 1549?-1608	Anglican	Puritan	m	Admonition to the Parliament
Cartwright, Thomas, 1535-1603	Presbyterian	Puritan	h	The Admonition controversy

# ── Presbyterians ─────────────────────────────────────────────────
Prynne, William	Presbyterian	Puritan	h
Baxter, Richard	Presbyterian	Puritan	m	Called himself a "meer Catholick"; reckoned with the Presbyterians at the ejection
Calamy, Edmund, 1600-1666	Presbyterian	Puritan	h	1600-1666
Marshall, Stephen	Presbyterian	Puritan	h
Love, Christopher	Presbyterian	Puritan	h
Watson, Thomas, d. 1686	Presbyterian	Puritan	h	d. 1686
Collinges, John	Presbyterian	Puritan	h
Gataker, Thomas	Presbyterian	Puritan	m	Westminster divine
Manton, Thomas	Presbyterian	Puritan	h
Case, Thomas	Presbyterian	Puritan	h
Jenkyn, William	Presbyterian	Puritan	h
Sedgwick, Obadiah	Presbyterian	Puritan	m
Vines, Richard	Presbyterian	Puritan	h
Burges, Cornelius	Presbyterian	Puritan	h
Burgess, Anthony	Presbyterian	Puritan	h	d. 1664, Westminster divine
Cawdrey, Daniel	Presbyterian	Puritan	h
Ley, John	Presbyterian	Puritan	m	Westminster divine
Geree, John	Presbyterian	Puritan	m
Brinsley, John, 1600-1665	Presbyterian	Puritan	m	1600-1665, of Yarmouth
Crofton, Zachary	Presbyterian	Puritan	h
Rutherford, Samuel	Presbyterian	Puritan	h
Gillespie, George	Presbyterian	Puritan	h
Calderwood, David	Presbyterian	Puritan	h
Knox, John	Presbyterian	Puritan	h
Boyd, Zacharie	Presbyterian	Puritan	m
Rous, Francis, 1579-1659	Presbyterian	Puritan	m	Lay; Provost of Eton
Flavel, John	Presbyterian	Puritan	h
Shower, John	Presbyterian	Puritan	m
Slater, Samuel	Presbyterian	Puritan	l	d. 1704
Alleine, Richard	Presbyterian	Puritan	m	Ejected 1662
Humfrey, John	Presbyterian	Puritan	m	Ejected, then an advocate of comprehension
Brooks, Thomas	Congregational	Puritan	m
Lightfoot, John, 1602-1675	Anglican	Puritan	m	Westminster divine and Hebraist; Erastian, and conformed in 1662

# ── Congregationalists and Independents ───────────────────────────
Owen, John, 1616-1683	Congregational	Puritan	h
Goodwin, Thomas, 1600-1680	Congregational	Puritan	h
Burroughs, Jeremiah	Congregational	Puritan	h	One of the five Dissenting Brethren
Bridge, William	Congregational	Puritan	h	Dissenting Brother
Caryl, Joseph	Congregational	Puritan	h
Cotton, John, 1584-1652	Congregational	Puritan	h	New England
Hooker, Thomas	Congregational	Puritan	h	New England
Shepard, Thomas	Congregational	Puritan	h	New England
Willard, Samuel	Congregational	Puritan	h	New England
Goodwin, John	Congregational	Puritan	m	Arminian Independent; not Thomas
Burton, Henry	Congregational	Puritan	m	Turned Independent after 1641
Strong, William	Congregational	Puritan	m	d. 1654
Homes, Nathanael	Congregational	Puritan	m	Millenarian
Ainsworth, Henry	Congregational	Puritan	h	Separatist at Amsterdam
Canne, John	Congregational	Puritan	m	Separatist
Beverley, Thomas	Congregational	Puritan	l	Millenarian nonconformist
Bagshaw, Edward, 1629-1671	Congregational	Puritan	l	1629-1671, nonconformist controversialist
Ness, Christopher	Congregational	Puritan	m
Brayne, John	Congregational	Puritan	l
Sherwin, William	Congregational	Puritan	l	Millenarian
Dury, John	Presbyterian	Puritan	m	Irenicist; ordained a Presbyterian in the Netherlands

# ── Baptists ──────────────────────────────────────────────────────
Bunyan, John	Baptist	Puritan	m	Open-communion; his Bedford church was Independent and Baptist at once
Keach, Benjamin	Baptist	Puritan	h	Particular Baptist
Tombes, John	Baptist	Puritan	h	Antipaedobaptist
Collier, Thomas	Baptist	Puritan	m	fl. 1691, General Baptist
Richardson, Samuel	Baptist	Puritan	m	fl. 1643-1658, Particular Baptist
Horn, John	Baptist	Puritan	l	1614-1676
Allen, William, d. 1686	Baptist	Puritan	l	d. 1686

# ── Quakers ───────────────────────────────────────────────────────
Fox, George, 1624-1691	Quaker		h
Whitehead, George	Quaker		h
Farnworth, Richard	Quaker		h
Penn, William	Quaker		h
Penington, Isaac, 1616-1679	Quaker		h
Keith, George	Quaker		m	Quaker until the 1690s, then ordained in the Church of England

# ── The continent ─────────────────────────────────────────────────
Calvin, Jean	Continental Reformed		h
Bèze, Théodore de	Continental Reformed		h
Bullinger, Heinrich	Continental Reformed		h
Du Moulin, Pierre	Continental Reformed		h	Huguenot
Mornay, Philippe de	Continental Reformed		h	Huguenot
Luther, Martin	Lutheran		h
Böhme, Jakob	Lutheran		m	Lutheran by baptism and burial, mystic by everything else
Niclaes, Hendrik	Anabaptist		m	Family of Love

# ── Party without a body ──────────────────────────────────────────
# Men whose church is genuinely contested. Recording the party alone
# is truer than picking one of the three they each belonged to.
Lilburne, John		Puritan	l	Leveller, gathered with Separatists, died a Quaker
Ross, Alexander	Anglican	Conformist	l	Royalist polymath
Brathwaite, Richard	Anglican	Conformist	l	Lay poet and moralist
Quarles, Francis	Anglican	Conformist	m	Royalist poet
Stafford, Richard	Anglican		l	1663-1703, nonjuring pamphleteer
Hart, John	Anglican	Puritan	l	D.D.; devotional compiler
Gearing, William	Anglican	Puritan	l

# ── Scoped to one catalogue ───────────────────────────────────────
# The Latin Library catalogues everybody without life dates, so where
# the library holds two men of a name its undated form cannot reach
# either row. A "tfr:" prefix says which man that catalogue means.
tfr:John Owen	Congregational	Puritan	h	Nine works incl. the Declaration of Faith and Order owned by the Congregational churches; not the epigrammatist
tfr:William Ames	Congregational	Puritan	h	Medulla; the Latin Library's is the Marrow's author
tfr:Franciscus Junius	Continental Reformed		h	Junius the elder, of Leiden
tfr:John Forbes	Anglican	Conformist	m	Forbes of Corse, the Aberdeen doctor
tfr:Thomas Bedford	Anglican	Puritan	l

# ══ Second pass ═══════════════════════════════════════════════════
# The next hundred and forty by volume. Names are written in the form
# Early English Books catalogues them, because that is the catalogue
# these men are in.

# ── Anglican, conforming ──────────────────────────────────────────
Lloyd, William, 1627-1717	Anglican	Conformist	h	Nonjuror
Kidder, Richard, 1633-1703	Anglican	Conformist	h
Bradford, Samuel, 1652-1731	Anglican	Conformist	m
Carleton, George, 1559-1628	Anglican	Conformist	h	British delegate to Dort
King, Henry, 1592-1669	Anglican	Conformist	h	Bishop of Chichester
King, John, 1559?-1621	Anglican	Conformist	h	Bishop of London
Leslie, Henry, 1580-1661	Anglican	Conformist	m	Bishop of Down and Connor
Leslie, Charles, 1650-1722	Anglican	Conformist	h	Nonjuror
Laney, Benjamin, 1591-1675	Anglican	Conformist	h
Tenison, Thomas, 1636-1715	Anglican	Conformist	h	Archbishop of Canterbury
Norris, John, 1657-1711	Anglican	Conformist	h
Womock, Laurence, 1612-1685	Anglican	Conformist	m	Anti-Calvinist; Bishop of St David's
Ferne, H. (Henry), 1602-1662	Anglican	Conformist	h	Royalist; Bishop of Chester
Sherlock, R. (Richard), 1612-1689	Anglican	Conformist	m
Steward, Richard, 1593?-1651	Anglican	Conformist	m	Dean of the Chapel Royal in exile
Fullwood, Francis, d. 1693	Anglican	Conformist	m
Hodges, Thomas, d. 1688	Anglican	Conformist	m
Camfield, Benjamin, 1638-1693	Anglican	Conformist	m
Wettenhall, Edward, 1636-1713	Anglican	Conformist	m	Bishop of Cork
Seller, Abednego, 1646?-1705	Anglican	Conformist	m	Nonjuror
Woodward, Josiah, 1660-1712	Anglican	Conformist	m	Societies for the Reformation of Manners
Walker, Anthony, d. 1692	Anglican	Conformist	m
Rogers, Nehemiah, 1593-1660	Anglican	Conformist	m
Rogers, Thomas, d. 1616	Anglican	Conformist	m	Expositor of the Thirty-nine Articles
Sydenham, Humphrey, 1591-1650?	Anglican	Conformist	m
Hakewill, George, 1578-1649	Anglican	Conformist	m
Babington, Gervase, 1550-1610	Anglican	Conformist	m	Bishop of Worcester
Playfere, Thomas, 1561?-1609	Anglican	Conformist	m
Powel, Gabriel, 1576-1611	Anglican	Conformist	m
Purchas, Samuel, 1577?-1626	Anglican	Conformist	m
Bunny, Edmund, 1540-1619	Anglican	Conformist	m
Parsons, Bartholomew, 1574-1642	Anglican	Conformist	l
Sclater, William, 1609-1661	Anglican	Conformist	m	The son; royalist, not the Puritan father
Reeve, Thomas, 1594-1672	Anglican	Conformist	m
Elys, Edmund, ca. 1634-ca. 1707	Anglican	Conformist	m
Gardiner, Samuel, b. 1563 or 4	Anglican	Conformist	l
Loe, William, d. 1645	Anglican	Conformist	l
Philipps, Fabian, 1601-1690	Anglican	Conformist	l	Lay royalist
Hayward, John, Sir, 1564?-1627	Anglican	Conformist	l	Lay historian
Taylor, John, 1580-1653	Anglican	Conformist	l	The Water Poet; royalist
Harris, John, 1667?-1719	Anglican	Conformist	l
James I, King of England, 1566-1625	Anglican	Conformist	m	Raised in the Kirk, governed as Supreme Governor of the Church of England
Charles I, King of England, 1600-1649	Anglican	Conformist	h
Bugg, Francis, 1640-1724?	Anglican		l	Left the Quakers and spent thirty years attacking them

# ── Anglican, Puritan ─────────────────────────────────────────────
Dering, Edward, 1540?-1576	Anglican	Puritan	h
Downame, John, d. 1652	Anglican	Puritan	h
Ball, John, 1585-1640	Anglican	Puritan	h
Pemble, William, 1592?-1623	Anglican	Puritan	h
Dyke, Jeremiah, 1584-1639	Anglican	Puritan	m
Trapp, John, 1601-1669	Anglican	Puritan	m
Bernard, Nicholas, d. 1661	Anglican	Puritan	m	Ussher's chaplain and biographer
Cooke, Alexander, 1564-1632	Anglican	Puritan	m
Abbot, Robert, 1588?-1662?	Anglican	Puritan	m
Torshell, Samuel, 1604-1650	Anglican	Puritan	m
Wilson, Thomas, 1563-1622	Anglican	Puritan	m
Smith, Samuel, 1588-1665	Anglican	Puritan	m
Wither, George, 1588-1667	Anglican	Puritan	m	Lay poet; parliamentarian
Brinsley, John, fl. 1581-1624	Anglican	Puritan	m	The schoolmaster; father of the Yarmouth preacher
Balmford, James, b. 1556	Anglican	Puritan	l
Greenwood, Henry, b. 1544 or 5	Anglican	Puritan	l
Granger, Thomas, b. 1578	Anglican	Puritan	l
Gaule, John, 1604?-1687	Anglican	Puritan	l
Ward, Richard, 1601 or 2-1684	Anglican	Puritan	l
Barton, William, 1598?-1678	Anglican	Puritan	l	Psalm versifier

# ── Presbyterian ──────────────────────────────────────────────────
Bates, William, 1625-1699	Presbyterian	Puritan	h
Howe, John, 1630-1705	Presbyterian	Puritan	h
Poole, Matthew, 1624-1679	Presbyterian	Puritan	h
Annesley, Samuel, 1620?-1696	Presbyterian	Puritan	h
Alleine, Joseph, 1634-1668	Presbyterian	Puritan	h
Vincent, Thomas, 1634-1678	Presbyterian	Puritan	h
Vincent, Nathanael, 1639?-1697	Presbyterian	Puritan	m
Heywood, Oliver, 1629-1702	Presbyterian	Puritan	h
Swinnock, George, 1627-1673	Presbyterian	Puritan	h
Gouge, Thomas, 1605-1681	Presbyterian	Puritan	h	Son of William Gouge
Ashe, Simeon, d. 1662	Presbyterian	Puritan	h
Newcomen, Matthew, 1610?-1669	Presbyterian	Puritan	h	Smectymnuus
Palmer, Herbert, 1601-1647	Presbyterian	Puritan	h	Westminster divine
Cheynell, Francis, 1608-1665	Presbyterian	Puritan	h
Hill, Thomas, d. 1653	Presbyterian	Puritan	m	Westminster divine, Master of Trinity
Jeanes, Henry, 1611-1662	Presbyterian	Puritan	m
Leigh, Edward, 1602-1671	Presbyterian	Puritan	m	Lay member of the Westminster Assembly
Roberts, Francis, 1609-1675	Presbyterian	Puritan	m
Horton, Thomas, d. 1673	Presbyterian	Puritan	m
Hollingworth, Richard, 1607-1656	Presbyterian	Puritan	m
Hall, Thomas, 1610-1665	Presbyterian	Puritan	m
Firmin, Giles, 1614-1697	Presbyterian	Puritan	m
Bakewell, Thomas, b. 1618 or 19	Presbyterian	Puritan	m	Wrote against the Antinomians and the Independents
Burgess, Daniel, 1645-1713	Presbyterian	Puritan	m
Durham, James, 1622-1658	Presbyterian	Puritan	h	Church of Scotland
Dickson, David, 1583?-1663	Presbyterian	Puritan	h	Church of Scotland
Rollock, Robert, 1555?-1599	Presbyterian	Puritan	h	First Principal of Edinburgh
Fenner, Dudley, 1558?-1587	Presbyterian	Puritan	h
Udal, John, 1560?-1592	Presbyterian	Puritan	h

# ── Congregational and Independent ────────────────────────────────
Mather, Cotton, 1663-1728	Congregational	Puritan	h	New England
Mather, Richard, 1596-1669	Congregational	Puritan	h	New England
Norton, John, 1606-1663	Congregational	Puritan	h	New England
Davenport, John, 1597-1670	Congregational	Puritan	h	New Haven
Greenhill, William, 1591-1671	Congregational	Puritan	h	Dissenting Brother
Gale, Theophilus, 1628-1678	Congregational	Puritan	h
Chauncy, Isaac, 1632-1712	Congregational	Puritan	h
Mead, Matthew, 1630?-1699	Congregational	Puritan	h
Lockyer, Nicholas, 1611-1685	Congregational	Puritan	h
Venning, Ralph, 1621?-1674	Congregational	Puritan	m
Jacob, Henry, 1563-1624	Congregational	Puritan	h	The Jacob church, 1616
Robinson, John, 1575?-1625	Congregational	Puritan	h	Pastor to the Pilgrims at Leiden
Barrow, Henry, 1550?-1593	Congregational	Puritan	h	Separatist; hanged 1593
Penry, John, 1559-1593	Congregational	Puritan	h	Separatist; hanged 1593
Dell, William, d. 1664	Congregational	Puritan	m	Army chaplain
Saltmarsh, John, d. 1647	Congregational	Puritan	m	Army chaplain; antinomian
Sterry, Peter, 1613-1672	Congregational	Puritan	m	Chaplain to Cromwell
Erbery, William, 1604-1654	Congregational	Puritan	l	Latterly a Seeker

# ── Baptist ───────────────────────────────────────────────────────
Powell, Vavasor, 1617-1670	Baptist	Puritan	m	Welsh; Fifth Monarchist
Purnell, Robert, d. 1666	Baptist	Puritan	m	Broadmead, Bristol
Williams, Roger, 1604?-1683	Baptist	Puritan	l	Baptist for a few months in 1639 and a Seeker after; no body holds him for long

# ── Quaker ────────────────────────────────────────────────────────
Naylor, James, 1617?-1660	Quaker		h
Burrough, Edward, 1634-1662	Quaker		h
Howgill, Francis, 1618-1669	Quaker		h
Hubberthorn, Richard, 1628-1662	Quaker		h

# ── The continent ─────────────────────────────────────────────────
Mornay, Philippe de, seigneur du Plessis-Marly, 1549-1623	Continental Reformed		h	Huguenot
Du Bartas, Guillaume de Salluste, seigneur, 1544-1590	Continental Reformed		h	Huguenot
Espagne, Jean d', 1591-1659	Continental Reformed		m	French minister of the Westminster chapel
Rhegius, Urbanus, 1489-1541	Lutheran		h
Comenius, Johann Amos, 1592-1670	Bohemian Brethren		h	Last bishop of the Unity of the Brethren

# ── Rome ──────────────────────────────────────────────────────────
Fisher, John, Saint, 1469-1535	Roman Catholic		h
More, Thomas, Sir, Saint, 1478-1535	Roman Catholic		h
Allen, William, 1532-1594	Roman Catholic		h	Cardinal; not the Particular Baptist of the same name
Smith, Richard, 1566-1655	Roman Catholic		h	Bishop of Chalcedon
Floyd, John, 1572-1649	Roman Catholic		h	Jesuit
Drexel, Jeremias, 1581-1638	Roman Catholic		h	Jesuit
Bossuet, Jacques Bénigne, 1627-1704	Roman Catholic		h
Luis, de Granada, 1504-1588	Roman Catholic		h	Dominican
Anderton, Lawrence	Roman Catholic		m	Jesuit

# ── Party without a body ──────────────────────────────────────────
Milton, John, 1608-1674	Congregational	Puritan	l	Independent in the 1640s; by the end he communicated with no church at all

# ══ Third pass ════════════════════════════════════════════════════

# ── Anglican, conforming ──────────────────────────────────────────
Hobbes, Thomas, 1588-1679	Anglican	Conformist	m	Erastian; conformed and is buried in a parish church
L'Estrange, Roger, Sir, 1616-1704	Anglican	Conformist	h	Lay; Tory pamphleteer
Abbot, George, 1562-1633	Anglican	Conformist	h	Archbishop of Canterbury
Abbot, Robert, 1560-1618	Anglican	Conformist	h	Bishop of Salisbury; not the Puritan of 1588?-1662?
Wallis, John, 1616-1703	Anglican	Conformist	h
Sharp, John, 1645-1714	Anglican	Conformist	h	Archbishop of York
Dodwell, Henry, 1641-1711	Anglican	Conformist	h	Nonjuror
Parker, Samuel, 1640-1688	Anglican	Conformist	h
Hopkins, Ezekiel, 1634-1690	Anglican	Conformist	h	Bishop of Derry
Mayne, Jasper, 1604-1672	Anglican	Conformist	h
Warmstry, Thomas, 1610-1665	Anglican	Conformist	h
Boughen, Edward, 1587?-1660?	Anglican	Conformist	h
Crakanthorpe, Richard, 1567-1624	Anglican	Conformist	h
Edwards, John, 1637-1716	Anglican	Conformist	h	Calvinist, and a conformist all the same
Payne, William, 1650-1696	Anglican	Conformist	m
Meggott, Richard, d. 1692	Anglican	Conformist	m
Hickeringill, Edmund, 1631-1708	Anglican	Conformist	m
Waterhouse, Edward, 1619-1670	Anglican	Conformist	m
Hill, Samuel, 1648-1716	Anglican	Conformist	m
Stephens, Edward, d. 1706	Anglican	Conformist	m
Gregory, Francis, 1625?-1707	Anglican	Conformist	m
Annand, William, 1633-1689	Anglican	Conformist	m	Scottish Episcopalian
Jones, Henry, 1605-1682	Anglican	Conformist	m	Bishop of Meath
Webbe, George, 1581-1642	Anglican	Conformist	m	Bishop of Limerick
Fenton, Roger, 1565-1616	Anglican	Conformist	m
Sheldon, Richard, d. 1642?	Anglican	Conformist	m	Convert from Rome
Benefield, Sebastian, 1559-1630	Anglican	Conformist	m
Price, Sampson, 1585 or 6-1630	Anglican	Conformist	m
Holyday, Barten, 1593-1661	Anglican	Conformist	m
Mason, Henry, 1573?-1647	Anglican	Conformist	m
Weemes, John, 1579?-1636	Anglican	Conformist	m	Scot who conformed to episcopacy
Swadlin, Thomas, 1600-1670	Anglican	Conformist	m	Royalist
Gatford, Lionel, d. 1665	Anglican	Conformist	m
Bunny, Francis, 1543-1617	Anglican	Conformist	m
Dove, John, 1560 or 61-1618	Anglican	Conformist	m
Page, Samuel, 1574-1630	Anglican	Conformist	m
Rawlinson, John, 1576-1630	Anglican	Conformist	m
Fletcher, Phineas, 1582-1650	Anglican	Conformist	m	Poet and parson
Stokes, David, 1591?-1669	Anglican	Conformist	m
Bradley, Thomas, 1597-1670	Anglican	Conformist	m
Hyde, Edward, 1607-1659	Anglican	Conformist	m	The divine, not the Earl of Clarendon
Véron, John, d. 1563	Anglican		m	French-born; Edwardian and Elizabethan controversialist
Harward, Simon, fl. 1572-1614	Anglican	Conformist	l
Carpenter, Richard, d. 1670?	Anglican	Conformist	l	Crossed to Rome and back more than once; died conforming
Lloyd, Lodowick, fl. 1573-1610	Anglican	Conformist	l	Lay; court official
Rich, Barnabe, 1540?-1617	Anglican	Conformist	l	Lay soldier
Stow, John, 1525?-1605	Anglican	Conformist	l	Lay chronicler
Anderson, Anthony, d. 1593	Anglican	Conformist	l
Jackson, Thomas, d. 1646	Anglican	Conformist	l
Topsell, Edward, 1572-1625?	Anglican	Conformist	l
Aylett, Robert, 1583-1655?	Anglican	Conformist	l	Lay
Wilkinson, Robert, Dr. in Divinity	Anglican	Conformist	l
Davies, John, 1565?-1618	Anglican	Conformist	l	Lay poet, of Hereford
Herring, Francis, d. 1628	Anglican	Conformist	l	Lay physician
Peacham, Henry, 1576?-1643?	Anglican	Conformist	l	Lay
Swan, John, d. 1671	Anglican	Conformist	l
Evans, Arise, b. 1607	Anglican	Conformist	l	Royalist prophet
Mayhew, R. (Richard)	Anglican	Conformist	l
Wall, Thomas	Anglican	Conformist	l
R. H., 1609-1678	Anglican	Conformist	l	Anti-Roman controversialist; the initials are all the catalogue gives
Elyot, Thomas, Sir, 1490?-1546	Anglican		l	Lay humanist who went with Henry's settlement

# ── Anglican, Puritan ─────────────────────────────────────────────
Ward, Samuel, 1577-1640	Anglican	Puritan	h	Of Ipswich
White, John, 1575-1648	Anglican	Puritan	h	The patriarch of Dorchester
D. R. (Daniel Rogers), 1573-1652	Anglican	Puritan	h
Cleaver, Robert, 1561 or 2-ca. 1625	Anglican	Puritan	h
Gilby, Anthony, ca. 1510-1585	Anglican	Puritan	h	Geneva exile
Lever, Thomas, 1521-1577	Anglican	Puritan	h
Greenham, Richard	Anglican	Puritan	h
Turner, William, d. 1568	Anglican	Puritan	m	Marian exile
Brabourne, Theophilus, b. 1590	Anglican	Puritan	m	Sabbatarian
